entry,name,size
004045b0,IplStore::AddIplsNeededAtPosn,5
004045e0,IplStore::ClearIplsNeededAtPosn,5
004045f0,IplStore::SetIfInteriorIplIsRequired,101
00404660,IplStore::SetIfIplIsRequired,39
00404700,IplStore::SetIplsRequired,127
00404780,IplStore::GetNewIplEntityIndexArray,5
004047b0,IplStore::GetIplEntityIndexArray,5
00404ac0,IplStore::FindIplSlot,88
00404b20,IplStore::RemoveIpl,326
00404c90,IplStore::IncludeEntity,5
00404de0,IplStore::SetupRelatedIpls,799
00405110,IplStore::RemoveRelatedIpls,85
00405170,IplStore::LoadIpls,5
004053f0,IplStore::EnsureIplsAreInMemory,293
00405600,IplStore::HaveIplsLoaded,278
00405720,IplStore::RemoveAllIpls,90
00405780,IplStore::LoadAllRemainingIpls,184
00405850,IplStore::RequestIplAndIgnore,5
00405890,IplStore::RemoveIplAndIgnore,5
004058d0,IplStore::RemoveIplWhenFarAway,5
00405ac0,IplStore::AddIplSlot,5
00405b60,IplStore::RemoveIplSlot,5
00405c00,IplStore::LoadIplBoundingBox,695
00405ec0,IplStore::Initialise,217
00405fa0,IplStore::Shutdown,5
00406080,IplStore::LoadIpl,725
00406370,CdStreamInfo::CdStreamShutdown,103
004063e0,CdStreamInfo::CdStreamGetStatus,5
00406460,CdStreamInfo::CdStreamSync,5
00406690,CdStreamInfo::CdStreamRemoveImages,115
004067b0,CdStreamInfo::CdStreamOpen,5
004068f0,CdStreamInfo::CdStreamInitThread,289
00406a20,CdStreamInfo::CdStreamRead,5
00406b70,CdStreamInfo::CdStreamInit,276
00406f50,Population::DoesCarGroupHaveModelId,5
00407100,Streaming::RequestTxdModel,19
00407180,General::GetRandomNumberInRange_int32,16
00407260,World::GetSector,5
004072a0,World::GetRepeatSector,5
004072e0,World::CWorld::AdvanceCurrentScanCode,5
00407410,Cheat::IsZoneStreamingAllowed,5
00407460,StreamingInfo::Init,5
00407480,StreamingInfo::AddToList,5
004074e0,StreamingInfo::RemoveFromList,5
004075a0,StreamingInfo::GetCdPosnAndSize,5
004075e0,StreamingInfo::SetCdPosnAndSize,5
00407610,Streaming::AddImageToList,5
004076a0,Streaming::IsVeryBusy,5
004076c0,Streaming::RetryLoadFile,246
00407800,Streaming::CStreaming::IsObjectInCdImage,5
00407820,Streaming::HasVehicleUpgradeLoaded,5
00407a10,Streaming::CStreaming::ForceLayerToRead,5
00407a30,Streaming::CStreaming::SetLoadVehiclesInLoadScene,5
00407a40,Streaming::ClearFlagForAll,5
00407ac0,Streaming::CStreaming::RemoveUnusedModelsInLoadedList,1
00407ad0,Streaming::AreAnimsUsedByRequestedModels,5
00407be0,Streaming::CStreaming::ImGonnaUseStreamingMemory,1
00407bf0,Streaming::CStreaming::IHaveUsedStreamingMemory,1
00407c00,Streaming::GetDefaultCopModel,5
00407c50,Streaming::GetDefaultCopCarModel,180
00407d10,Streaming::DisableCopBikes,5
00407d20,Streaming::GetDefaultMedicModel,5
00407d40,Streaming::GetDefaultFiremanModel,5
00407d50,Streaming::GetDefaultCabDriverModel,100
00407dd0,Streaming::IsCarModelNeededInCurrentZone,5
00407f00,Streaming::HasSpecialCharLoaded,5
00407f20,Streaming::CStreaming::LoadInitialVehicles,1
00407f80,Streaming::WeAreTryingToPhaseVehicleOut,5
00407fb0,Streaming::FindMIPedSlotForInterior,61
00408000,Streaming::AddToLoadedVehiclesList,5
004080f0,Streaming::RemoveCarModel,5
00408340,TxdStore::GetTxd,5
00408370,TxdStore::GetParentTxdSlot,5
004083c0,Streaming::InitImageList,230
004084b0,Streaming::Shutdown,5
004084f0,Streaming::InstanceLoadedModels,743
004087e0,Streaming::RequestModel,25
004089a0,Streaming::RemoveModel,708
00408c70,Streaming::RequestVehicleUpgrade,5
00408cb0,Streaming::FinishLoadingLargeFile,356
00408e20,Streaming::GetNextFileOnCd,560
00409050,Streaming::RequestFilesInChannel,79
004090a0,Streaming::DeleteAllRwObjects,362
00409210,Streaming::DeleteRwObjectsAfterDeath,409
004093b0,Streaming::RemoveBigBuildings,115
00409430,Streaming::RequestBigBuildings,116
004094b0,Streaming::RemoveBuildingsNotInArea,267
00409650,Streaming::AddEntity,112
004096c0,Streaming::CStreaming::StartRenderEntities,11
004096d0,Streaming::RenderEntity,5
00409710,Streaming::RemoveEntity,5
00409760,Streaming::DeleteLeastUsedEntityRwObject,467
00409940,Streaming::CStreaming::DeleteRwObjectsBehindCameraInSectorList,19
004099e0,Streaming::CStreaming::DeleteRwObjectsNotInFrustumInSectorList,163
00409a90,Streaming::AreTexturesUsedByRequestedModels,5
00409c10,Streaming::SetModelIsDeletable,84
00409c70,Streaming::CStreaming::SetModelTxdIsDeletable,30
