address,length,value
"00400000",2,"""MZ"""
"00400080",4,"""PE"""
"00400178",8,""".text"""
"004001a0",8,"""_rwcseg"""
"004001c8",8,""".rdata"""
"004001f0",8,""".data"""
"00400218",8,"""_TEXT_HA"""
"00400240",8,"""_rwdseg"""
"00400268",8,""".rsrc"""
"00400290",8,""".text"""
"004002b8",8,""".init"""
"004002e0",8,""".data"""
"00400308",8,""".HOODLUM"""
"00402b09",8,"""QRVWUSj"""
"0085897a",10,"""aD_stream"""
"00858984",9,"""levelmap"""
"00858990",9,"""int_cont"""
"0085899c",8,"""int_veg"""
"008589a4",7,"""int_sf"""
"008589ac",7,"""int_la"""
"008589b4",8,"""stadint"""
"008589bc",9,"""savehous"""
"008589c8",9,"""gen_intb"""
"008589d4",9,"""gen_int5"""
"008589e0",9,"""gen_int4"""
"008589ec",9,"""gen_int3"""
"008589f8",9,"""gen_int2"""
"00858a04",9,"""gen_int1"""
"00858a17",9,"""BLOADCOL"""
"00858a34",8,"""generic"""
"00858a3c",10,"""IPL Files"""
"00858a4f",41,"""C%s: failed to create streaming thread\n"""
"00858a78",37,"""%s: failed to create sync semaphore\n"""
"00858aa0",39,"""%s: failed to create stream semaphore\n"""
"00858ac8",12,"""cdvd_stream"""
"00858ad4",9,"""CdStream"""
"00858ae0",20,"""Signal Sema Error\n"""
"00858af4",16,"""MODELS\\GTA3.IMG"""
"00858b1f",21,"""=MODELS\\GTA_INT.IMG"""
"00858b5b",33,"""CRequested %d, memory size %dK\n"""
"00858bb3",9,"""Bprops2"""
"00858bbc",8,"""props"""
"00858bc4",10,"""proc_int2"""
"00858bd0",9,"""proc_int"""
"00858bdc",8,"""procobj"""
"00858be4",15,"""CollisionFiles"""
"00858f57",41,"""@tell Obbe it happened again %d/%d %d/%d"""
"0085907e",10,"""HBCHEAT1"""
"00859088",7,"""CHEAT8"""
"00859090",14,"""glasses04dark"""
"008590a0",10,"""glasses04"""
"008590ac",9,"""flipflop"""
"008590b8",12,"""shortskhaki"""
"008590c4",7,"""shorts"""
"008590d4",8,"""gimpleg"""
"008590dc",9,"""hairpink"""
"008590f0",8,"""groucho"""
"008590f8",9,"""grouchos"""
"00859104",11,"""timberhike"""
"00859110",6,"""bask1"""
"00859118",10,"""legsheart"""
"0085912c",10,"""countrytr"""
"00859138",9,"""captruck"""
"00859144",11,"""timberfawn"""
"008594aa",26,"""HBPed2Pl_ConversationP"""
"008594c4",20,"""Ped2Pl_Conversation"""
"00859500",7,"""KILLPA"""
"00859510",8,"""%d:%02d"""
"00859528",8,"""PAGE_00"""
"008595a4",7,"""TRICAS"""
"008595ac",7,"""MAFCAS"""
"008595b4",8,"""LAstrip"""
"008595bc",7,"""strip2"""
"008595cc",8,"""POLICE4"""
"008595d4",8,"""POLICE3"""
"008595dc",8,"""POLICE2"""
"008595e4",8,"""POLICE1"""
"008595f3",13,"""?Entry Exits"""
"00859879",11,""".eBBUSTED"""
"00859884",8,"""WRN2_2P"""
"0085988c",8,"""WRN1_2P"""
"00859894",7,"""WRN_2P"""
"008598f4",8,"""CODEGW1"""
"00859900",7,"""GW_ATK"""
"00859908",8,"""CODEGW3"""
"00859910",8,"""CODEGW2"""
"00859920",8,"""GW_PROV"""
"0085992c",7,"""GW_YRS"""
"00859938",8,"""GW_NOSH"""
"00859940",8,"""GW_SLOW"""
"0085994c",7,"""GW_WON"""
"00859954",8,"""GW_WARN"""
"0085995c",8,"""GW_FLEE"""
"00859964",8,"""GW_CLR2"""
"0085996c",8,"""GW_CLR1"""
"008599c0",6,"""GA_21"""
"008599e4",6,"""GA_6B"""
"008599f4",6,"""GA_7B"""
"00859a14",6,"""GA_16"""
"00859a1c",6,"""GA_15"""
"00859a24",6,"""GA_XX"""
"00859a34",6,"""GA_22"""
"00859a50",6,"""GA_1B"""
"00859a6c",10,"""%02d:%02d"""
"00859a78",8,"""%d / %d"""
