address,name,namespace,type,source,external,primary
"00000004","DAT_00000004","Global","Label","DEFAULT",false,true
"00000006","DAT_00000006","Global","Label","DEFAULT",false,true
"00000007","DAT_00000007","Global","Label","DEFAULT",false,true
"00000008","DAT_00000008","Global","Label","DEFAULT",false,true
"00000009","DAT_00000009","Global","Label","DEFAULT",false,true
"0000000a","DAT_0000000a","Global","Label","DEFAULT",false,true
"0000000e","DAT_0000000e","Global","Label","DEFAULT",false,true
"00000012","DAT_00000012","Global","Label","DEFAULT",false,true
"00000013","DAT_00000013","Global","Label","DEFAULT",false,true
"00000014","DAT_00000014","Global","Label","DEFAULT",false,true
"00000054","DAT_00000054","Global","Label","DEFAULT",false,true
"00000055","DAT_00000055","Global","Label","DEFAULT",false,true
"00000064","DAT_00000064","Global","Label","DEFAULT",false,true
"00000065","DAT_00000065","Global","Label","DEFAULT",false,true
"00000078","DAT_00000078","Global","Label","DEFAULT",false,true
"00000079","DAT_00000079","Global","Label","DEFAULT",false,true
"000003b8","DAT_000003b8","Global","Label","DEFAULT",false,true
"000003bc","DAT_000003bc","Global","Label","DEFAULT",false,true
"000003ff","DAT_000003ff","Global","Label","DEFAULT",false,true
"00000403","DAT_00000403","Global","Label","DEFAULT",false,true
"00000413","DAT_00000413","Global","Label","DEFAULT",false,true
"00000417","DAT_00000417","Global","Label","DEFAULT",false,true
"00000423","DAT_00000423","Global","Label","DEFAULT",false,true
"00010328","DAT_00010328","Global","Label","DEFAULT",false,true
"0001032c","DAT_0001032c","Global","Label","DEFAULT",false,true
"00010330","DAT_00010330","Global","Label","DEFAULT",false,true
"00010334","DAT_00010334","Global","Label","DEFAULT",false,true
"00010338","DAT_00010338","Global","Label","DEFAULT",false,true
"0001033c","DAT_0001033c","Global","Label","DEFAULT",false,true
"00010340","DAT_00010340","Global","Label","DEFAULT",false,true
"00010344","DAT_00010344","Global","Label","DEFAULT",false,true
"00010348","DAT_00010348","Global","Label","DEFAULT",false,true
"0001034c","DAT_0001034c","Global","Label","DEFAULT",false,true
"00010350","DAT_00010350","Global","Label","DEFAULT",false,true
"00010dd0","DAT_00010dd0","Global","Label","DEFAULT",false,true
"00010dd8","DAT_00010dd8","Global","Label","DEFAULT",false,true
"000113c0","DAT_000113c0","Global","Label","DEFAULT",false,true
"000113c4","DAT_000113c4","Global","Label","DEFAULT",false,true
"000113c8","DAT_000113c8","Global","Label","DEFAULT",false,true
"000113cc","DAT_000113cc","Global","Label","DEFAULT",false,true
"000113d0","DAT_000113d0","Global","Label","DEFAULT",false,true
"000113d4","DAT_000113d4","Global","Label","DEFAULT",false,true
"000113d8","DAT_000113d8","Global","Label","DEFAULT",false,true
"000113dc","DAT_000113dc","Global","Label","DEFAULT",false,true
"000113e0","DAT_000113e0","Global","Label","DEFAULT",false,true
"000113e4","DAT_000113e4","Global","Label","DEFAULT",false,true
"000113e8","DAT_000113e8","Global","Label","DEFAULT",false,true
"000f3c80","caseD_0","switchD_014b11b2","Label","ANALYSIS",false,true
"00244c89","caseD_0","switchD_014b1040","Label","ANALYSIS",false,true
"00400000","IMAGE_DOS_HEADER_00400000","Global","Label","DEFAULT",false,true
"00400001","IMAGE_DOS_HEADER_00400000.e_magic[1]","Global","Label","DEFAULT",false,true
"00400002","IMAGE_DOS_HEADER_00400000.e_cblp","Global","Label","DEFAULT",false,true
"00400004","IMAGE_DOS_HEADER_00400000.e_cp","Global","Label","DEFAULT",false,true
"00400008","IMAGE_DOS_HEADER_00400000.e_cparhdr","Global","Label","DEFAULT",false,true
"0040003c","IMAGE_DOS_HEADER_00400000.e_lfanew","Global","Label","DEFAULT",false,true
"00400100","IMAGE_NT_HEADERS32_00400080.OptionalHeader.DataDirectory[1].VirtualAddress","Global","Label","DEFAULT",false,true
"00400104","IMAGE_NT_HEADERS32_00400080.OptionalHeader.DataDirectory[1].Size","Global","Label","DEFAULT",false,true
"00400160","IMAGE_NT_HEADERS32_00400080.OptionalHeader.DataDirectory[13].VirtualAddress","Global","Label","DEFAULT",false,true
"00400164","IMAGE_NT_HEADERS32_00400080.OptionalHeader.DataDirectory[13].Size","Global","Label","DEFAULT",false,true
"00401000","thunk_FUN_01562980","Global","Function","DEFAULT",false,true
"00401005","DAT_00401005","Global","Label","DEFAULT",false,true
"00401008","DAT_00401008","Global","Label","DEFAULT",false,true
"00401009","DAT_00401009","Global","Label","DEFAULT",false,true
"0040100d","DAT_0040100d","Global","Label","DEFAULT",false,true
"00401011","DAT_00401011","Global","Label","DEFAULT",false,true
"00401015","DAT_00401015","Global","Label","DEFAULT",false,true
"00401019","DAT_00401019","Global","Label","DEFAULT",false,true
"0040101d","DAT_0040101d","Global","Label","DEFAULT",false,true
"00401025","FUN_00401025","Global","Function","DEFAULT",false,true
"0040103c","FUN_0040103c","Global","Function","DEFAULT",false,true
"0040104a","thunk_FUN_0156736a","Global","Function","DEFAULT",false,true
"0040104f","FUN_0040104f","Global","Function","DEFAULT",false,true
"00401065","FUN_00401065","Global","Function","DEFAULT",false,true
"0040107d","FUN_0040107d","Global","Function","DEFAULT",false,true
"00401092","FUN_00401092","Global","Function","DEFAULT",false,true
"004010a8","FUN_004010a8","Global","Function","DEFAULT",false,true
"004010bf","FUN_004010bf","Global","Function","DEFAULT",false,true
"004010ca","thunk_FUN_006ebec5","Global","Function","DEFAULT",false,true
"004010d4","FUN_004010d4","Global","Function","DEFAULT",false,true
"004010f8","FUN_004010f8","Global","Function","DEFAULT",false,true
"00401102","FUN_00401102","Global","Function","DEFAULT",false,true
"0040110d","FUN_0040110d","Global","Function","DEFAULT",false,true
"00401122","FUN_00401122","Global","Function","DEFAULT",false,true
"0040113d","FUN_0040113d","Global","Function","DEFAULT",false,true
"00401148","FUN_00401148","Global","Function","DEFAULT",false,true
"00401163","FUN_00401163","Global","Function","DEFAULT",false,true
"0040116d","FUN_0040116d","Global","Function","DEFAULT",false,true
"00401177","thunk_FUN_00719766","Global","Function","DEFAULT",false,true
"00401182","thunk_FUN_00531f30","Global","Function","DEFAULT",false,true
"0040118b","thunk_FUN_0156e43b","Global","Function","DEFAULT",false,true
"00401190","FUN_00401190","Global","Function","DEFAULT",false,true
"004011af","FUN_004011af","Global","Function","DEFAULT",false,true
"004011b9","FUN_004011b9","Global","Function","DEFAULT",false,true
"004011cd","FUN_004011cd","Global","Function","DEFAULT",false,true
"004011d8","FUN_004011d8","Global","Function","DEFAULT",false,true
"004011ef","FUN_004011ef","Global","Function","DEFAULT",false,true
"004011fa","FUN_004011fa","Global","Function","DEFAULT",false,true
"0040120a","FUN_0040120a","Global","Function","DEFAULT",false,true
"00401220","FUN_00401220","Global","Function","DEFAULT",false,true
"0040122a","FUN_0040122a","Global","Function","DEFAULT",false,true
"00401240","FUN_00401240","Global","Function","DEFAULT",false,true
"00401258","FUN_00401258","Global","Function","DEFAULT",false,true
"0040126f","FUN_0040126f","Global","Function","DEFAULT",false,true
"00401279","FUN_00401279","Global","Function","DEFAULT",false,true
"00401284","FUN_00401284","Global","Function","DEFAULT",false,true
"0040128f","FUN_0040128f","Global","Function","DEFAULT",false,true
"0040129b","FUN_0040129b","Global","Function","DEFAULT",false,true
"004012a6","FUN_004012a6","Global","Function","DEFAULT",false,true
"004012b0","FUN_004012b0","Global","Function","DEFAULT",false,true
"004012bb","FUN_004012bb","Global","Function","DEFAULT",false,true
"004012c6","thunk_FUN_005d15b0","Global","Function","DEFAULT",false,true
"004012d0","FUN_004012d0","Global","Function","DEFAULT",false,true
"004012db","FUN_004012db","Global","Function","DEFAULT",false,true
"004012e9","thunk_FUN_01567bf9","Global","Function","DEFAULT",false,true
"004012ee","FUN_004012ee","Global","Function","DEFAULT",false,true
"004012fa","FUN_004012fa","Global","Function","DEFAULT",false,true
"00401307","FUN_00401307","Global","Function","DEFAULT",false,true
"0040131c","FUN_0040131c","Global","Function","DEFAULT",false,true
"00401331","FUN_00401331","Global","Function","DEFAULT",false,true
"0040133d","FUN_0040133d","Global","Function","DEFAULT",false,true
"00401349","FUN_00401349","Global","Function","DEFAULT",false,true
"00401355","FUN_00401355","Global","Function","DEFAULT",false,true
"0040136c","FUN_0040136c","Global","Function","DEFAULT",false,true
"00401384","FUN_00401384","Global","Function","DEFAULT",false,true
"00401390","FUN_00401390","Global","Function","DEFAULT",false,true
"0040139b","FUN_0040139b","Global","Function","DEFAULT",false,true
"004013b1","FUN_004013b1","Global","Function","DEFAULT",false,true
"004013c9","FUN_004013c9","Global","Function","DEFAULT",false,true
"004013d4","FUN_004013d4","Global","Function","DEFAULT",false,true
"004013e0","FUN_004013e0","Global","Function","DEFAULT",false,true
"004013eb","FUN_004013eb","Global","Function","DEFAULT",false,true
"004013f5","FUN_004013f5","Global","Function","DEFAULT",false,true
"00401400","FUN_00401400","Global","Function","DEFAULT",false,true
"00401418","thunk_FUN_00587b89","Global","Function","DEFAULT",false,true
"00401422","FUN_00401422","Global","Function","DEFAULT",false,true
"0040142c","FUN_0040142c","Global","Function","DEFAULT",false,true
"00401438","FUN_00401438","Global","Function","DEFAULT",false,true
"00401443","FUN_00401443","Global","Function","DEFAULT",false,true
"0040145a","FUN_0040145a","Global","Function","DEFAULT",false,true
"00401473","FUN_00401473","Global","Function","DEFAULT",false,true
"00401487","FUN_00401487","Global","Function","DEFAULT",false,true
"00401492","FUN_00401492","Global","Function","DEFAULT",false,true
"0040149e","FUN_0040149e","Global","Function","DEFAULT",false,true
"004014aa","FUN_004014aa","Global","Function","DEFAULT",false,true
"004014b5","FUN_004014b5","Global","Function","DEFAULT",false,true
"004014c1","FUN_004014c1","Global","Function","DEFAULT",false,true
"004014d8","FUN_004014d8","Global","Function","DEFAULT",false,true
"004014e2","FUN_004014e2","Global","Function","DEFAULT",false,true
"004014ed","FUN_004014ed","Global","Function","DEFAULT",false,true
"00401506","FUN_00401506","Global","Function","DEFAULT",false,true
"00401512","FUN_00401512","Global","Function","DEFAULT",false,true
"0040151c","FUN_0040151c","Global","Function","DEFAULT",false,true
"00401527","FUN_00401527","Global","Function","DEFAULT",false,true
"00401533","FUN_00401533","Global","Function","DEFAULT",false,true
"0040154a","FUN_0040154a","Global","Function","DEFAULT",false,true
"00401554","FUN_00401554","Global","Function","DEFAULT",false,true
"0040155e","FUN_0040155e","Global","Function","DEFAULT",false,true
"00401569","FUN_00401569","Global","Function","DEFAULT",false,true
"0040157f","FUN_0040157f","Global","Function","DEFAULT",false,true
"00401589","FUN_00401589","Global","Function","DEFAULT",false,true
"004015a0","FUN_004015a0","Global","Function","DEFAULT",false,true
"004015b9","FUN_004015b9","Global","Function","DEFAULT",false,true
"004015c3","FUN_004015c3","Global","Function","DEFAULT",false,true
"004015da","FUN_004015da","Global","Function","DEFAULT",false,true
"004015e5","FUN_004015e5","Global","Function","DEFAULT",false,true
"004015fb","FUN_004015fb","Global","Function","DEFAULT",false,true
"0040160b","FUN_0040160b","Global","Function","DEFAULT",false,true
"00401616","FUN_00401616","Global","Function","DEFAULT",false,true
"00401621","FUN_00401621","Global","Function","DEFAULT",false,true
"0040162c","FUN_0040162c","Global","Function","DEFAULT",false,true
"00401644","FUN_00401644","Global","Function","DEFAULT",false,true
"0040164f","FUN_0040164f","Global","Function","DEFAULT",false,true
"0040165e","FUN_0040165e","Global","Function","DEFAULT",false,true
"0040166a","FUN_0040166a","Global","Function","DEFAULT",false,true
"00401682","thunk_FUN_007034b5","Global","Function","DEFAULT",false,true
"0040168c","FUN_0040168c","Global","Function","DEFAULT",false,true
"00401697","FUN_00401697","Global","Function","DEFAULT",false,true
"004016a2","FUN_004016a2","Global","Function","DEFAULT",false,true
"004016ad","LAB_004016ad","Global","Label","DEFAULT",false,true
"004016b9","FUN_004016b9","Global","Function","DEFAULT",false,true
"004016c4","thunk_FUN_005733ea","Global","Function","DEFAULT",false,true
"004016d3","FUN_004016d3","Global","Function","DEFAULT",false,true
"004016ef","FUN_004016ef","Global","Function","DEFAULT",false,true
"004016fa","FUN_004016fa","Global","Function","DEFAULT",false,true
"00401705","FUN_00401705","Global","Function","DEFAULT",false,true
"00401711","FUN_00401711","Global","Function","DEFAULT",false,true
"00401729","FUN_00401729","Global","Function","DEFAULT",false,true
"00401740","FUN_00401740","Global","Function","DEFAULT",false,true
"00401759","FUN_00401759","Global","Function","DEFAULT",false,true
"00401764","FUN_00401764","Global","Function","DEFAULT",false,true
"00401771","FUN_00401771","Global","Function","DEFAULT",false,true
"0040178c","FUN_0040178c","Global","Function","DEFAULT",false,true
"004017a2","FUN_004017a2","Global","Function","DEFAULT",false,true
"004017ad","FUN_004017ad","Global","Function","DEFAULT",false,true
"004017ce","FUN_004017ce","Global","Function","DEFAULT",false,true
"004017e3","thunk_FUN_0052cef0","Global","Function","DEFAULT",false,true
"004017ee","FUN_004017ee","Global","Function","DEFAULT",false,true
"004017fa","FUN_004017fa","Global","Function","DEFAULT",false,true
"00401812","LAB_00401812","Global","Label","DEFAULT",false,true
"0040181e","FUN_0040181e","Global","Function","DEFAULT",false,true
"00401829","FUN_00401829","Global","Function","DEFAULT",false,true
"0040183f","FUN_0040183f","Global","Function","DEFAULT",false,true
"0040184a","FUN_0040184a","Global","Function","DEFAULT",false,true
"00401855","thunk_FUN_0056b5ef","Global","Function","DEFAULT",false,true
"00401860","FUN_00401860","Global","Function","DEFAULT",false,true
"00401876","FUN_00401876","Global","Function","DEFAULT",false,true
"00401881","FUN_00401881","Global","Function","DEFAULT",false,true
"0040188b","FUN_0040188b","Global","Function","DEFAULT",false,true
"00401896","FUN_00401896","Global","Function","DEFAULT",false,true
"004018a1","FUN_004018a1","Global","Function","DEFAULT",false,true
"004018c3","FUN_004018c3","Global","Function","DEFAULT",false,true
"004018ce","FUN_004018ce","Global","Function","DEFAULT",false,true
"004018da","FUN_004018da","Global","Function","DEFAULT",false,true
"004018e7","FUN_004018e7","Global","Function","DEFAULT",false,true
"004018f2","FUN_004018f2","Global","Function","DEFAULT",false,true
"004018fd","FUN_004018fd","Global","Function","DEFAULT",false,true
"00401908","FUN_00401908","Global","Function","DEFAULT",false,true
"00401913","FUN_00401913","Global","Function","DEFAULT",false,true
"0040191e","FUN_0040191e","Global","Function","DEFAULT",false,true
"00401929","FUN_00401929","Global","Function","DEFAULT",false,true
"0040193f","FUN_0040193f","Global","Function","DEFAULT",false,true
"00401956","FUN_00401956","Global","Function","DEFAULT",false,true
"00401961","FUN_00401961","Global","Function","DEFAULT",false,true
"00401976","FUN_00401976","Global","Function","DEFAULT",false,true
"00401981","FUN_00401981","Global","Function","DEFAULT",false,true
"0040198b","FUN_0040198b","Global","Function","DEFAULT",false,true
"00401997","FUN_00401997","Global","Function","DEFAULT",false,true
"004019a1","FUN_004019a1","Global","Function","DEFAULT",false,true
"004019b9","FUN_004019b9","Global","Function","DEFAULT",false,true
"004019ce","FUN_004019ce","Global","Function","DEFAULT",false,true
"004019d9","LAB_004019d9","Global","Label","DEFAULT",false,true
"004019e5","FUN_004019e5","Global","Function","DEFAULT",false,true
"004019fc","FUN_004019fc","Global","Function","DEFAULT",false,true
"00401a07","FUN_00401a07","Global","Function","DEFAULT",false,true
"00401a13","FUN_00401a13","Global","Function","DEFAULT",false,true
"00401a1d","FUN_00401a1d","Global","Function","DEFAULT",false,true
"00401a35","FUN_00401a35","Global","Function","DEFAULT",false,true
"00401a42","FUN_00401a42","Global","Function","DEFAULT",false,true
"00401a4d","FUN_00401a4d","Global","Function","DEFAULT",false,true
"00401a60","DAT_00401a60","Global","Label","DEFAULT",false,true
"00401a64","FUN_00401a64","Global","Function","DEFAULT",false,true
"00401a6e","FUN_00401a6e","Global","Function","DEFAULT",false,true
"00401a79","FUN_00401a79","Global","Function","DEFAULT",false,true
"00401a84","FUN_00401a84","Global","Function","DEFAULT",false,true
"00401a8f","FUN_00401a8f","Global","Function","DEFAULT",false,true
"00401a99","FUN_00401a99","Global","Function","DEFAULT",false,true
"00401aa5","FUN_00401aa5","Global","Function","DEFAULT",false,true
"00401aaf","FUN_00401aaf","Global","Function","DEFAULT",false,true
"00401abc","FUN_00401abc","Global","Function","DEFAULT",false,true
"00401ac8","FUN_00401ac8","Global","Function","DEFAULT",false,true
"00401add","FUN_00401add","Global","Function","DEFAULT",false,true
"00401ae9","FUN_00401ae9","Global","Function","DEFAULT",false,true
"00401b00","FUN_00401b00","Global","Function","DEFAULT",false,true
"00401b0c","FUN_00401b0c","Global","Function","DEFAULT",false,true
"00401b27","FUN_00401b27","Global","Function","DEFAULT",false,true
"00401b31","thunk_FUN_005859f6","Global","Function","DEFAULT",false,true
"00401b3b","FUN_00401b3b","Global","Function","DEFAULT",false,true
"00401b46","FUN_00401b46","Global","Function","DEFAULT",false,true
"00401b61","FUN_00401b61","Global","Function","DEFAULT",false,true
"00401b78","FUN_00401b78","Global","Function","DEFAULT",false,true
"00401b90","FUN_00401b90","Global","Function","DEFAULT",false,true
"00401b9b","FUN_00401b9b","Global","Function","DEFAULT",false,true
"00401ba5","FUN_00401ba5","Global","Function","DEFAULT",false,true
"00401baf","FUN_00401baf","Global","Function","DEFAULT",false,true
"00401bbb","FUN_00401bbb","Global","Function","DEFAULT",false,true
"00401bc5","FUN_00401bc5","Global","Function","DEFAULT",false,true
"00401be0","FUN_00401be0","Global","Function","DEFAULT",false,true
