caller_entry,caller_name,callee_entry,callee_name
"100114c0","FUN_100114c0","100905d0","FUN_100905d0"
"100114c0","FUN_100114c0","10142b34","FUN_10142b34"
"100114c0","FUN_100114c0","10142e6b","FUN_10142e6b"
"100115a0","FUN_100115a0","1009c980","FUN_1009c980"
"100115a0","FUN_100115a0","10142b34","FUN_10142b34"
"100117c0","FUN_100117c0","100b6550","FUN_100b6550"
"100117c0","FUN_100117c0","10142b34","FUN_10142b34"
"100117c0","FUN_100117c0","10142e6b","FUN_10142e6b"
"10011980","FUN_10011980","100905d0","FUN_100905d0"
"10011980","FUN_10011980","10142b34","FUN_10142b34"
"10011980","FUN_10011980","10142e6b","FUN_10142e6b"
"10011a90","FUN_10011a90","100e4400","FUN_100e4400"
"10011a90","FUN_10011a90","10142b34","FUN_10142b34"
"10011b50","FUN_10011b50","100905d0","FUN_100905d0"
"10011b50","FUN_10011b50","10142b34","FUN_10142b34"
"10011b50","FUN_10011b50","10142e6b","FUN_10142e6b"
"10011c30","FUN_10011c30","10092780","FUN_10092780"
"10011c30","FUN_10011c30","10142b34","FUN_10142b34"
"10011c30","FUN_10011c30","10142e6b","FUN_10142e6b"
"10011da0","FUN_10011da0","10092780","FUN_10092780"
"10011da0","FUN_10011da0","10142b34","FUN_10142b34"
"10011da0","FUN_10011da0","10142e6b","FUN_10142e6b"
"10011eb0","FUN_10011eb0","100905d0","FUN_100905d0"
"10011eb0","FUN_10011eb0","10142b34","FUN_10142b34"
"10011eb0","FUN_10011eb0","10142e6b","FUN_10142e6b"
"10012200","FUN_10012200","1013de40","FUN_1013de40"
"10012200","FUN_10012200","10142b34","FUN_10142b34"
"10012200","FUN_10012200","10142e6b","FUN_10142e6b"
"10012280","FUN_10012280","1008cb00","FUN_1008cb00"
"10012280","FUN_10012280","1013c000","FUN_1013c000"
"10012280","FUN_10012280","1013d330","FUN_1013d330"
"10012280","FUN_10012280","101422d2","FUN_101422d2"
"10012280","FUN_10012280","101422e0","__security_check_cookie"
"10012280","FUN_10012280","10142e6b","FUN_10142e6b"
"10012280","FUN_10012280","1015b3c5","__invoke_watson"
"10012574","FUN_10012574","EXTERNAL:00000043","HeapReAlloc"
"10012574","FUN_10012574","EXTERNAL:00000044","HeapAlloc"
"100125f8","FUN_100125f8","101422e0","__security_check_cookie"
"100125f8","FUN_100125f8","EXTERNAL:00000022","GetThreadContext"
"100125f8","FUN_100125f8","EXTERNAL:00000046","SetThreadContext"
"1001274d","FUN_1001274d","101422e0","__security_check_cookie"
"1001274d","FUN_1001274d","EXTERNAL:00000009","GetCurrentThreadId"
"1001274d","FUN_1001274d","EXTERNAL:00000011","CloseHandle"
"1001274d","FUN_1001274d","EXTERNAL:0000001a","GetCurrentProcessId"
"1001274d","FUN_1001274d","EXTERNAL:0000003c","GetLastError"
"1001274d","FUN_1001274d","EXTERNAL:0000003f","HeapFree"
"1001274d","FUN_1001274d","EXTERNAL:00000040","Thread32Next"
"1001274d","FUN_1001274d","EXTERNAL:00000041","Thread32First"
"1001274d","FUN_1001274d","EXTERNAL:00000042","CreateToolhelp32Snapshot"
"1001274d","FUN_1001274d","EXTERNAL:00000043","HeapReAlloc"
"1001274d","FUN_1001274d","EXTERNAL:00000044","HeapAlloc"
"1001286e","FUN_1001286e","100125f8","FUN_100125f8"
"1001286e","FUN_1001286e","1001274d","FUN_1001274d"
"1001286e","FUN_1001286e","EXTERNAL:00000011","CloseHandle"
"1001286e","FUN_1001286e","EXTERNAL:0000001e","OpenThread"
"1001286e","FUN_1001286e","EXTERNAL:00000020","SuspendThread"
"100128f9","FUN_100128f9","EXTERNAL:00000011","CloseHandle"
"100128f9","FUN_100128f9","EXTERNAL:0000001e","OpenThread"
"100128f9","FUN_100128f9","EXTERNAL:00000021","ResumeThread"
