address,length,value
"10000000",2,"""MZ"""
"10000128",4,"""PE"""
"10000220",8,""".text"""
"10000248",8,""".rdata"""
"10000270",8,""".data"""
"10000298",8,""".fptable"""
"100002c0",8,""".rsrc"""
"100002e8",8,""".reloc"""
"1018fa00",24,"""AreDifficultIDsExtended"""
"1018fa18",29,"""GetExtendedIDfrom16bitBefore"""
"1018fa38",29,"""SetExtendedIDfrom16bitBefore"""
"1018fa58",28,"""AreVehicleColourIDsextended"""
"1018fa74",28,"""GetExtendedIDfrom8bitBefore"""
"1018fa90",28,"""SetExtendedIDfrom8bitBefore"""
"1018faac",28,"""$fastman92limitAdjuster.asi"""
"101903d0",26,"""Dear ImGui 1.90.5 (19050)"""
"101903ec",29,"""Size column to fit###SizeOne"""
"1019040c",34,"""Size all columns to fit###SizeAll"""
"10190430",38,"""Size all columns to default###SizeAll"""
"10190458",25,"""Reset order###ResetOrder"""
"10190474",16,"""(Main menu bar)"""
"10190484",8,"""(Popup)"""
"1019048c",11,"""(Untitled)"""
"10190498",156,"u""C:\\Users\\Madhav Gupta\\Documents\\GitHub\\ProjectEagleCore\\include\\imgui\\imgui.h"""
"10190534",42,"u""idx == 0 || idx == 1"""
"10190560",174,"u""C:\\Users\\Madhav Gupta\\Documents\\GitHub\\ProjectEagleCore\\include\\imgui\\imgui_internal.h"""
"10190610",15,"""*Missing Text*"""
"10190620",94,"u""button >= 0 && button < ImGuiMouseButton_COUNT"""
"10190680",32,"u""IsNamedKey(key)"""
"101906a0",20,"""debugmenu_imgui.ini"""
"101906b4",24,"""debugmenu_imgui_log.txt"""
"101906d0",160,"u""C:\\Users\\Madhav Gupta\\Documents\\GitHub\\ProjectEagleCore\\include\\imgui\\imgui.cpp"""
"10190770",18,"u""Ctx != 0"""
"10190784",62,"u""ImGui::IsNamedKeyOrModKey(key)"""
"101907c8",64,"u""ImGui::IsAliasKey(key) == false"""
"10190808",50,"u""key != ImGuiMod_Shortcut"""
"10190840",382,"u""(BackendUsingLegacyKeyArrays == -1 || BackendUsingLegacyKeyArrays == 0) && \""Backend needs to either only use io.AddKeyEvent(), either only fill legacy io.KeysDown[] + io.KeyMap[]. Not both!\"""""
"101909c0",270,"u""KeyMap[n] == -1 && \""Backend needs to either only use io.AddKeyEvent(), either only fill legacy io.KeysDown[] + io.KeyMap[]. Not both!\"""""
"10190ad0",46,"u""ImGui::IsNamedKey(key)"""
"10190b00",158,"u""native_legacy_index == -1 || ImGui::IsLegacyKey((ImGuiKey)native_legacy_index)"""
"10190ba0",118,"u""mouse_button >= 0 && mouse_button < ImGuiMouseButton_COUNT"""
"10190c90",126,"u""old_size >= 0 && new_size >= old_size && new_size >= EndOffset"""
"10190d10",212,"u""GImGui != 0 && \""No current context. Did you call ImGui::CreateContext() and ImGui::SetCurrentContext() ?\"""""
"10190de8",146,"u""(g.ColorStack.Size > count) && \""Calling PopStyleColor() too many times!\"""""
"10190e80",76,"u""idx >= 0 && idx < ImGuiStyleVar_COUNT"""
"10190ed0",114,"u""(0) && \""Calling PushStyleVar() variant with wrong type!\"""""
"10190f48",148,"u""(g.StyleVarStack.Size > count) && \""Calling PopStyleVar() too many times!\"""""
"10190fe4",8,"""Unknown"""
"10190ff0",156,"u""mouse_cursor > ImGuiMouseCursor_None && mouse_cursor < ImGuiMouseCursor_COUNT"""
"10191090",72,"u""!g.Initialized && !g.SettingsLoaded"""
"101910d8",8,"""Window"""
"101910e0",6,"""#MOVE"""
"101910e8",35,"""SetActiveID() cancel MovingWindow\n"""
