address,length,value
"10000000",2,"""MZ"""
"10000120",4,"""PE"""
"10000218",8,""".text"""
"10000240",8,""".rdata"""
"10000268",8,""".data"""
"10000290",8,""".rsrc"""
"100002b8",8,""".reloc"""
"1003f2ec",20,"""Unknown exception"""
"1003f318",21,"""bad array new length"""
"1003f330",16,"""string too long"""
"1003f340",40,"""Warning: couldn't create vehicle type: """
"1003f368",29,"""Warning: bad train carriages"""
"1003f388",24,"""invalid string position"""
"1003f3f0",9,"""iostream"""
"1003f3fc",22,"""iostream stream error"""
"1003f420",9,"""bad cast"""
"1003f43c",16,"""bad locale name"""
"1003f494",21,"""ios_base::badbit set"""
"1003f4ac",22,"""ios_base::failbit set"""
"1003f4c4",21,"""ios_base::eofbit set"""
"1003f534",23,"""invalid stoul argument"""
"1003f54c",28,"""stoul argument out of range"""
"1003f568",9,"""samp.dll"""
"1003f5f4",33,"""fastman92limitAdjuster_GTASA.ini"""
"1003f644",6,"""false"""
"1003f658",7,"""(null)"""
"1003f700",8,"""generic"""
"1003f714",28,"""Fail to schedule the chore!"""
"1003f748",61,"""This function cannot be called on a default constructed task"""
"1003f7b0",15,"""broken promise"""
"1003f7c0",25,"""future already retrieved"""
"1003f7dc",26,"""promise already satisfied"""
"1003f7f8",9,"""no state"""
"1003f82c",7,"""future"""
"1003f90c",16,"""vector too long"""
"1003f9fc",7,""" Bytes"""
"1003fa0c",28,"""   Total Streaming memory: """
"1003fa28",28,"""   Using Streaming memory: """
"1003fa44",22,"""   Streaming Buffer: """
"1003fa64",24,"""   System Memory Used: """
"1003fa7c",6,""" MB\n\n"""
"1003fa84",29,"""   System Memory Allocated: """
"1003faa4",17,"""   Peds Loaded: """
"1003fabc",25,"""   RW Object Instances: """
"1003fad8",22,"""   Models Requested: """
"1003faf0",23,"""   Players in stream: """
"1003fb08",24,"""   Vehicles in Stream: """
"1003fb20",23,"""   Objects in Stream: """
"1003fb38",15,"""   Sent Data: """
"1003fb48",18,"""   Recieve Data: """
"1003fb60",18,"""   Packets Loss: """
"1003fb8f",41,"""AWarning: ignoring large TextDraw size="""
"1003fbd3",33,"""Cfastman92 limit adjuster 7.6"""
"1003fbf4",21,"""data\\script\\samp.scm"""
"1003fc18",14,"""Empty Loaded """
"1003fc28",13,"""kernel32.dll"""
"1003fc38",12,"""CreateFileA"""
"1003fc44",25,"""Installing Vehicle Hooks"""
"1003fc60",20,"""SanViveLuaHudSA.asi"""
"1003fc78",162,"""55 8B EC 6A ? 68 ? ? ? ? 64 A1 ? ? ? ? 50 83 EC ? A1 ? ? ? ? 33 C5 89 45 ? 50 8D 45 ? 64 A3 ? ? ? ? A1 ? ? ? ? 83 F8 ? 74 ? 83 F8 ? 74 ? 8D 45 ? B9 ? ? ? ? 50 E8"""
"1003fd5c",18,"""Plugin-SDK Plugin"""
"1003fd70",11,"""PECore.asi"""
"1003fd80",189,"""53 8B DC 83 EC ? 83 E4 ? 83 C4 ? 55 8B 6B ? 89 6C 24 ? 8B EC 6A ? 68 ? ? ? ? 64 A1 ? ? ? ? 50 53 81 EC ? ? ? ? A1 ? ? ? ? 33 C5 89 45 ? 56 57 50 8D 45 ? 64 A3 ? ? ? ? 80 3D ? ? ? ? ? 0F 84"""
"1003fe40",25,"""Waiting Loadeing model: """
