address,name,namespace,type,source,external,primary
"004020bc","DAT_004020bc","Global","Label","DEFAULT",false,true
"00403da7","DAT_00403da7","Global","Label","DEFAULT",false,true
"00468ec5","DAT_00468ec5","Global","Label","DEFAULT",false,true
"00489a46","DAT_00489a46","Global","Label","DEFAULT",false,true
"004986b7","DAT_004986b7","Global","Label","DEFAULT",false,true
"004c8723","DAT_004c8723","Global","Label","DEFAULT",false,true
"004c8761","DAT_004c8761","Global","Label","DEFAULT",false,true
"004dc2d9","DAT_004dc2d9","Global","Label","DEFAULT",false,true
"004e098e","DAT_004e098e","Global","Label","DEFAULT",false,true
"004e0a0e","DAT_004e0a0e","Global","Label","DEFAULT",false,true
"00550f46","DAT_00550f46","Global","Label","DEFAULT",false,true
"00550f82","DAT_00550f82","Global","Label","DEFAULT",false,true
"00551107","DAT_00551107","Global","Label","DEFAULT",false,true
"005534b9","DAT_005534b9","Global","Label","DEFAULT",false,true
"0057526c","DAT_0057526c","Global","Label","DEFAULT",false,true
"005752ee","DAT_005752ee","Global","Label","DEFAULT",false,true
"00575313","DAT_00575313","Global","Label","DEFAULT",false,true
"0057532c","DAT_0057532c","Global","Label","DEFAULT",false,true
"0057533e","DAT_0057533e","Global","Label","DEFAULT",false,true
"00575363","DAT_00575363","Global","Label","DEFAULT",false,true
"0058ffe4","DAT_0058ffe4","Global","Label","DEFAULT",false,true
"00590004","DAT_00590004","Global","Label","DEFAULT",false,true
"00590042","DAT_00590042","Global","Label","DEFAULT",false,true
"00590d2b","DAT_00590d2b","Global","Label","DEFAULT",false,true
"00590d68","DAT_00590d68","Global","Label","DEFAULT",false,true
"005b685a","DAT_005b685a","Global","Label","DEFAULT",false,true
"005b8e55","DAT_005b8e55","Global","Label","DEFAULT",false,true
"005b8eb0","DAT_005b8eb0","Global","Label","DEFAULT",false,true
"006df95e","DAT_006df95e","Global","Label","DEFAULT",false,true
"006e32cd","DAT_006e32cd","Global","Label","DEFAULT",false,true
"00731f60","DAT_00731f60","Global","Label","DEFAULT",false,true
"00744f8d","DAT_00744f8d","Global","Label","DEFAULT",false,true
"0074503f","DAT_0074503f","Global","Label","DEFAULT",false,true
"00781d18","DAT_00781d18","Global","Label","DEFAULT",false,true
"00781e32","DAT_00781e32","Global","Label","DEFAULT",false,true
"008341da","DAT_008341da","Global","Label","DEFAULT",false,true
"008a5a80","DAT_008a5a80","Global","Label","DEFAULT",false,true
"008e4bb0","DAT_008e4bb0","Global","Label","DEFAULT",false,true
"008e4cac","DAT_008e4cac","Global","Label","DEFAULT",false,true
"008e4cb4","DAT_008e4cb4","Global","Label","DEFAULT",false,true
"008e4cb8","DAT_008e4cb8","Global","Label","DEFAULT",false,true
"00b71804","DAT_00b71804","Global","Label","DEFAULT",false,true
"00b74490","DAT_00b74490","Global","Label","DEFAULT",false,true
"00b74494","DAT_00b74494","Global","Label","DEFAULT",false,true
"00b7449c","DAT_00b7449c","Global","Label","DEFAULT",false,true
"00ba6794","DAT_00ba6794","Global","Label","DEFAULT",false,true
"00c17044","DAT_00c17044","Global","Label","DEFAULT",false,true
"00c17048","DAT_00c17048","Global","Label","DEFAULT",false,true
"00c71a80","DAT_00c71a80","Global","Label","DEFAULT",false,true
"00c8d4c0","DAT_00c8d4c0","Global","Label","DEFAULT",false,true
"00c97c1c","DAT_00c97c1c","Global","Label","DEFAULT",false,true
"0156a119","DAT_0156a119","Global","Label","DEFAULT",false,true
"0156c986","DAT_0156c986","Global","Label","DEFAULT",false,true
"10000000","IMAGE_DOS_HEADER_10000000","Global","Label","DEFAULT",false,true
"1000003c","IMAGE_DOS_HEADER_10000000.e_lfanew","Global","Label","DEFAULT",false,true
"10000120","IMAGE_NT_HEADERS32_10000120","Global","Label","DEFAULT",false,true
"10000138","IMAGE_NT_HEADERS32_10000120.OptionalHeader.Magic","Global","Label","DEFAULT",false,true
"10001000","LAB_10001000","Global","Label","DEFAULT",false,true
"10001012","LAB_10001012","Global","Label","DEFAULT",false,true
