caller_entry,caller_name,callee_entry,callee_name
"00016050","operator.new[]","0005000c","operator.new[]"
"000160c0","__throw_future_error","00050028","__throw_future_error"
"000160d0","strerror","0005002c","strerror"
"000160e0","memmove","00050030","memmove"
"00016140","memcpy","00050044","memcpy"
"00016150","pthread_cancel","00050048","pthread_cancel"
"000161a0","wait","0005005c","wait"
"000161f0","__throw_bad_alloc","00050064","__throw_bad_alloc"
"00016250","__throw_length_error","00050074","__throw_length_error"
"00016260","_Result_base","00050078","_Result_base"
"00016290","notify_one","00050080","notify_one"
"000162b0","terminate","00050084","terminate"
"00016300","nanosleep","00050090","nanosleep"
"00016370","operator.delete","000500a8","operator.delete"
"000163e0","pthread_once","000500b4","pthread_once"
"000163f0","_Unwind_Resume","000500b8","_Unwind_Resume"
"00016470","__cxa_throw_bad_array_new_length","000500d8","__cxa_throw_bad_array_new_length"
"00016490","__throw_bad_array_new_length","000500dc","__throw_bad_array_new_length"
"000164c0","__cxa_atexit","000500e4","__cxa_atexit"
"000164d0","_M_need_rehash","000500e8","_M_need_rehash"
"00016550","operator.delete[]","00050108","operator.delete[]"
"00016580","__assert_fail","00050114","__assert_fail"
"000165e0","_M_futex_notify_all","00050128","_M_futex_notify_all"
"00016650","detach","00050144","detach"
"00016690","pthread_mutex_lock","00050150","pthread_mutex_lock"
"000166e0","operator.new","00050160","operator.new"
"000166f0","__errno_location","00050164","__errno_location"
"00016700","atoi","0005016c","atoi"
"00016740","___tls_get_addr","00050178","___tls_get_addr"
"00016790","condition_variable","00050184","condition_variable"
"000167b0","logic_error","0005018c","logic_error"
"00016810","__throw_system_error","00050194","__throw_system_error"
"00016820","_M_start_thread","00050198","_M_start_thread"
"00016830","free","0005019c","free"
"00016848","FUN_00016848","000173d6","__i686.get_pc_thunk.bx"
"000168b4","_INIT_0","000164c0","__cxa_atexit"
"000168b4","_INIT_0","000166e0","operator.new"
"000168b4","_INIT_0","00016790","condition_variable"
"000168b4","_INIT_0","00016848","FUN_00016848"
"000168b4","_INIT_0","00019a5d","__i686.get_pc_thunk.si"
"00016bfe","_INIT_1","000173d6","__i686.get_pc_thunk.bx"
"00016c76","_INIT_2","000173d6","__i686.get_pc_thunk.bx"
"00016e71","_INIT_3","000173d6","__i686.get_pc_thunk.bx"
"0001706c","_INIT_4","000173d6","__i686.get_pc_thunk.bx"
"00017267","FUN_00017267","000173d6","__i686.get_pc_thunk.bx"
"000172e6","FUN_000172e6","000173d6","__i686.get_pc_thunk.bx"
"0001737a","FUN_0001737a","000173d6","__i686.get_pc_thunk.bx"
"000173da","FUN_000173da","000173d6","__i686.get_pc_thunk.bx"
"000174e8","FUN_000174e8","000173d6","__i686.get_pc_thunk.bx"
"00017542","FUN_00017542","000173d6","__i686.get_pc_thunk.bx"
"000175a9","FUN_000175a9","000173d6","__i686.get_pc_thunk.bx"
"0001762a","FUN_0001762a","000173d6","__i686.get_pc_thunk.bx"
"0001769e","FUN_0001769e","000173d6","__i686.get_pc_thunk.bx"
