address,name,namespace,type,source,external,primary
".comment::00000000","ElfComment[0]","Global","Label","IMPORTED",false,true
".shstrtab::00000000","DAT_.shstrtab__00000000","Global","Label","DEFAULT",false,true
"00010034","Elf32_Phdr_ARRAY_00010034","Global","Label","DEFAULT",false,true
"00010134","GnuBuildId_00010134","Global","Label","DEFAULT",false,true
"00010158","__DT_GNU_HASH","Global","Label","IMPORTED",false,true
"00010200","DWORD_ARRAY_000101e8[6]","Global","Label","DEFAULT",false,true
"00010630","__DT_SYMTAB","Global","Label","IMPORTED",false,true
"000115d0","__DT_STRTAB","Global","Label","IMPORTED",false,true
"00015124","__DT_REL","Global","Label","IMPORTED",false,true
"00015b4c","__DT_JMPREL","Global","Label","IMPORTED",false,true
"00016000","FUN_00016000","Global","Function","DEFAULT",false,true
"00016050","operator.new[]","<EXTERNAL>","Function","DEFAULT",false,true
"000160c0","__throw_future_error","<EXTERNAL>::std","Function","DEFAULT",false,true
"000160d0","strerror","<EXTERNAL>","Function","DEFAULT",false,true
"000160e0","memmove","<EXTERNAL>","Function","DEFAULT",false,true
"000160f0","FUN_000160f0","Global","Function","DEFAULT",false,true
"00016120","__to_xstring<std::__cxx11::string,char>","__gnu_cxx","Function","DEFAULT",false,true
"00016130","string","std::__cxx11::string","Function","DEFAULT",false,true
"00016140","memcpy","<EXTERNAL>","Function","DEFAULT",false,true
"00016150","pthread_cancel","<EXTERNAL>","Function","DEFAULT",false,true
"00016170","_M_dispose","std::__cxx11::string","Function","DEFAULT",false,true
"00016180","FUN_00016180","Global","Function","DEFAULT",false,true
"000161a0","wait","<EXTERNAL>::std::condition_variable","Function","DEFAULT",false,true
"000161c0","lock","std::mutex","Function","DEFAULT",false,true
"000161d0","operator[]","std::__detail::_Map_base<unsigned_short,std::pair<unsigned_short_const,char>,std::allocator<std::pair<unsigned_short_const,char>>,std::__detail::_Select1st,std::equal_to<unsigned_short>,std::hash<unsigned_short>,std::__detail::_Mod_range_hashing,std::__detail::_Default_ranged_hash,std::__detail::_Prime_rehash_policy,std::__detail::_Hashtable_traits<false,false,true>,true>","Function","DEFAULT",false,true
"000161f0","__throw_bad_alloc","<EXTERNAL>::std","Function","DEFAULT",false,true
"00016210","_S_copy","std::__cxx11::string","Function","DEFAULT",false,true
"00016220","FUN_00016220","Global","Function","DEFAULT",false,true
"00016230","__to_chars_len<unsigned_int>","std::__detail","Function","DEFAULT",false,true
